"","Text1"
"rockefeller",1
"rolled",1
"ron",2
"room",1
"roosevelt",1
"ross",2
"roughly",8
"round",1
"rule",3
"run",8
"run¡±",1
"running",7
"runs",2
"runway",1
"rush",1
"rushed",1
"russians",1
"safely",2
"safety",1
"said",41
"sale",1
"sales",4
"salesman",1
"salespeople",1
"salesperson",3
"salomon",1
"salute",1
"sam",9
"sam¡­",1
"sandra",1
"sandwich",1
"saudis",1
"save",4
"saved",1
"savers",1
"saving",1
"savings",2
"saw",3
"say",51
"saying",9
"says",11
"scared",1
"scariest",1
"scarred",1
"scenario",1
"scenarios",8
"school",2
"schwartz",1
"scott",3
"screen",1
"script",3
"season",2
"seasonal",2
"seats",2
"second",8
"seconded",3
"secondly",2
"secretary",4
"section",5
"securities",4
"security",4
"see",31
"see¡¯s",3
"seeing",2
"seem",4
"seemed",2
"seems",1
"seen",5
"select",1
"selected",2
"selfevident",4
"sell",21
"selling",11
"sells",1
"semi",1
"senate",3
"senator",3
"send",7
"sense",4
"senses",1
"sensitive",2
"sent",5
"september",5
"series",1
"serious",1
"seriously",2
"serve",1
"set",3
"settlement",1
"settlements",2
"seven",8
"seventy",1
"several",1
"severe",2
"sex",1
"shade",1
"shall",2
"shape",4
"share",7
"shareholder",6
"shareholders",16
"shares",22
"sharing",1
"sheet",3
"sheets",2
"shelter",1
"ship",1
"shooter",1
"shopping",2
"short",5
"shortage",1
"shorter",1
"shortest",1
"shot",1
"shouldn¡¯t",6
"show",5
"showed",2
"shows",1
"shuffling",1
"shut",9
"shutting",1
"siblings",1
"side",11
"sidelights",1
"sidelining",1
"siding",1
"sigma",1
"sign",2
"significance",1
"significant",9
"significantly",8
"similar",2
"similarly",2
"simons",1
"simple",2
"simplify",1
"simply",2
"since",15
"single",11
"sir",1
"sister",1
"sit",2
"site",1
"sitting",2
"situated",2
"situation",11
"situations",1
"six",9
"sixth",1
"size",6
"skill",1
"skills",2
"skipped",1
"slaves",3
"slide",24
"slides",7
"slightest",1
"slightly",3
"slow",2
"small",11
"smaller",2
"smart",8
"smartest",3
"smartness",1
"smokes",1
"smooth",1
"socalled",1
"social",2
"society",6
"soil",1
"sold",6
"solid",2
"solvable",1
"solve",2
"somebody",24
"someday",2
"someone",1
"someplace",2
"something",74
"sometime",2
"sometimes",4
"somewhat",11
"somewhere",3
"son",1
"soon",3
"sorkin",2
"sorry",1
"sort",28
"soul",1
"sound",2
"sounds",1
"sources",1
"south",1
"southwest",2
"soybeans",1
"space",2
"spanish",3
"speak",2
"speaking",1
"special",8
"specialist",1
"specialized",1
"specific",1
"specifically",1
"specifics",1
"specified",1
"speed",1
"spell",1
"spelled",1
"spelling",1
"spend",7
"spending",1
"spin",1
"spivey",1
"split",1
"spot",2
"spread",3
"spreads",2
"square",2
"squared",1
"stadium",1
"staggered",1
"stake",1
"staked",1
"stamp",1
"stamps",1
"stand",1
"standard",2
"standards",1
"standing",2
"start",8
"started",14
"starting",2
"state",5
"statement",11
"states",26
"statistics",1
"stay",5
"stayed",1
"stays",1
"steadily",1
"steady",1
"stepping",1
"steve",2
"stick",1
"still",16
"stock",37
"stocks",30
"stop",4
"stopped",4
"stops",2
"storage",1
"store",3
"stores",3
"story",3
"straight",1
"straightforward",1
"strain",1
"strained",1
"strains",1
"strangers",2
"straws",1
"street",3
"streetcar",1
"strength",2
"stress",1
"strike",3
"strikes",1
"strip",1
"strong",3
"stronger",1
"structured",3
"stuck",1
"study",1
"stuff",1
"stupid",2
"style",2
"subject",5
"subjects",1
"subsequently",1
"subsidiaries",3
"subsidized",1
"subsidizing",1
"substantial",2
"substantially",1
"succeed",1
"success",2
"successors",1
"suffer",2
"suffering",1
"suggest",3
"suggested",1
"suited",1
"summer",2
"sums",4
"sunday",1
"super",4
"superior",3
"supply",2
"support",1
"supporting",5
"suppressed",1
"supreme",2
"sure",15
"surprised",4
"surprises",3
"surrounding",1
"surviving",1
"susan",2
"sustain",3
"sweatsuit",1
"sweeping",1
"swelling",1
"switch",1
"symbol",1
"sync",1
"syst",1
"system",12
"systems",3
"t¡¯s",1
"tailwind",6
"taint",1
"take",33
"taken",2
"takes",5
"taking",8
"talent",1
"talents",1
"talk",12
"talked",6
"talking",7
"talks",2
"target",1
"taught",3
"tax",6
"taxable",1
"taxes",7
"teach",1
"teachers¡¯",1
"tech¡­",1
"technologically",1
"ted",6
"telephone",1
"television",2
"tell",25
"telling",3
"tells",2
"temperament",1
"tempted",1
"tenants",1
"tendency",1
"term",2
"terms",49
"terrible",9
"terrific",2
"test",1
"tested",3
"testified",4
"testify",3
"testimony",1
"testing",4
"texas",2
"textile",3
"thank",10
"thankless",1
"thanks",3
"theme",1
"themself",1
"thereabout",2
"thereabouts",4
"therefore",1
"thereto",1
"thing",28
"things",58
"think",134
"think¡­",1
"thinking",9
"thinks",4
"third",3
"though",3
"thought",15
"thoughts",6
"thousand",1
"threat",4
"threats¡ªnatural",1
"three",25
"throw",1
"thursday",2
"tie",1
"ties",1
"time",79
"time¡±",1
"times",14
"timing",2
"tiny",4
"today",11
"todd",5
"told",5
"tom",2
"tome",1
"tomorrow",7
"took",19
"top",8
"topic",1
"total",2
"totally",4
"touch",1
"tough",3
"tougher",4
"toward",7
"tracks",2
"trade",2
"trading",4
"train",2
"transaction",1
"transactions",1
"translate",1
"transmissible",2
"travel",5
"traveling",1
"treasury",14
"treat",1
"treated",2
"tremendous",2
"trends",1
"trick",1
"tricks",1
"tried",4
"trillion",6
"trim",1
"trip",2
"trouble",3
"troubles",1
"true",10
"truncating",1
"trusted",1
"trustee",3
"trustees",1
"truth",6
"truths",1
"try",11
"trying",7
"turn",10
"turned",2
"turns",1
"twenties",1
"twice",1
"two",29
"type",1
"types",1
"ultimate",1
"unable",1
"unalienable",1
"unavoidably",1
"unbalance",1
"unbelievable",1
"unbelievably",1
"underlying",1
"understand",7
"understandable",1
"understandably",1
"undoubtedly",1
"uneven",1
"unfettered",1
"unfinished",1
"unfortunately",3
"unhappy",1
"unimaginable",1
"uninsured",1
"unique",1
"uniquely",1
"united",23
"universe",1
"universities",1
"unknown",1
"unknowns",3
"unless",5
"unlikely",1
"unpleasant",1
"unprecedented",1
"unpredictable",1
"unusual",6
"upon",3
"ups",1
"upside",1
"use",5
"used",5
"useful",1
"uses",1
"using",3
"usually",3
"utilities",1
"valid",2
"value",11
"valued",1
"variables",2
"variety",1
"various",12
"vehicles",1
"versus",1
"vice",2
"view",12
"viewing",1
"viewpoint",1
"views",4
"villanova",1
"violently",1
"virtually",3
"virus",14
"vision",1
"voice",1
"volcker",4
"volume",4
"voluntarily",2
"vote",9
"voted",1
"votes",2
"voting",4
"wages",1
"waited",1
"waiting",1
"wall",3
"walls",1
"walter",3
"want",45
"wanted",9
"wanting",1
"wants",6
"war",8
"warmed",1
"warning",1
"warren",3
"wash",1
"washington",1
"wasn¡¯t",14
"watch",1
"watched",2
"watching",4
"wave",1
"way",46
"ways",12
"weak",1
"wealth",9
"wealthy",1
"wear",1
"week",9
"weeks",5
"weighing",1
"welcome",2
"welcomed",1
"well",80
"wellbeing",1
"wellmeaning",1
"went",27
"weren¡¯t",8
"weschler",2
"west",1
"whatever",25
"whatsoever",1
"whereas",1
"whether",25
"whoever",2
"whole",4
"wholly",1
"whose",1
"wide",2
"wider",1
"widow",1
"wild",1
"wildest",1
"will",106
"williamsburg",1
"willing",6
"wills",1
"win",1
"wind",1
"wings",1
"winner",1
"wintertime",1
"wiped",2
"wisdom",2
"wise",2
"wish",4
"wishes",1
"within",4
"without",6
"witmer",2
"witness",2
"witnesses",1
"woman",3
"womb",1
"women",2
"won¡¯t",9
"wonder",1
"wondered",1
"wonderful",3
"wonderfully",1
"wondering",1
"wonders",2
"wood",1
"word",2
"words",1
"work",21
"worked",10
"workers",1
"workforce",1
"working",7
"works",5
"world",37
"world¡¯s",2
"world¡±",1
"worldwide",2
"worried",2
"worry",4
"worrying",2
"worse",2
"worst",5
"worth",19
"worthwhile",1
"wouldn¡¯t",13
"wraps",1
"wrestled",1
"write",2
"writing",2
"written",6
"wrong",13
"wrote",14
"wti",1
"xyz",1
"yard",2
"yardstick",3
"yeah",14
"year",39
"year¡¯s",1
"years",88
"yell",3
"yelling",1
"yes",2
"yet",4
"yields",1
"york",10
"young",3
"youtube",4
"zero",7
"zoom",2
